product,price,location
Chicken Cheese Bombs,299,Wari
Chicken Cheese Bombs,299,Banani
Chicken Cheese Bombs,299,Dhanmondi
Chicken Cheese Bombs,299,Mirpur
Chicken Cheese Bombs,299,Uttara
Chicken Cheese Bombs,299,Bailey Road
Chicken Cheese Bombs,299,Sylhet
Chicken Cheese Bombs,299,Bashundhara
Chicken Cheese Bombs,299,Gulshan
Spicy Cajun Fries,159,Wari
Spicy Cajun Fries,159,Banani
Spicy Cajun Fries,159,Dhanmondi
Spicy Cajun Fries,159,Mirpur
Spicy Cajun Fries,159,Uttara
Spicy Cajun Fries,159,Bailey Road
Spicy Cajun Fries,159,Sylhet
Spicy Cajun Fries,159,Bashundhara
Spicy Cajun Fries,159,Gulshan
Fries - Salt & Pepper,139,Wari
Fries - Salt & Pepper,139,Banani
Fries - Salt & Pepper,139,Dhanmondi
Fries - Salt & Pepper,139,Mirpur
Fries - Salt & Pepper,139,Uttara
Fries - Salt & Pepper,139,Bailey Road
Fries - Salt & Pepper,139,Sylhet
Fries - Salt & Pepper,139,Bashundhara
Fries - Salt & Pepper,139,Gulshan
Onion Rings,149,Wari
Onion Rings,149,Banani
Onion Rings,149,Dhanmondi
Onion Rings,149,Mirpur
Onion Rings,149,Uttara
Onion Rings,149,Bailey Road
Onion Rings,149,Sylhet
Onion Rings,149,Bashundhara
Onion Rings,149,Gulshan
Spicy Garlic Mushrooms,269,Wari
Spicy Garlic Mushrooms,269,Banani
Spicy Garlic Mushrooms,269,Dhanmondi
Spicy Garlic Mushrooms,269,Mirpur
Spicy Garlic Mushrooms,269,Uttara
Spicy Garlic Mushrooms,269,Bailey Road
Spicy Garlic Mushrooms,269,Sylhet
Spicy Garlic Mushrooms,269,Bashundhara
Spicy Garlic Mushrooms,269,Gulshan
Paneer Sticks,399,Wari
Paneer Sticks,399,Banani
Paneer Sticks,399,Dhanmondi
Paneer Sticks,399,Mirpur
Paneer Sticks,399,Uttara
Paneer Sticks,399,Bailey Road
Paneer Sticks,399,Sylhet
Paneer Sticks,399,Bashundhara
Paneer Sticks,399,Gulshan
Buffalo,399,Wari
Buffalo,399,Banani
Buffalo,399,Dhanmondi
Buffalo,399,Mirpur
Buffalo,399,Uttara
Buffalo,399,Bailey Road
Buffalo,399,Sylhet
Buffalo,399,Bashundhara
Buffalo,399,Gulshan
Naga-Tastic,399,Wari
Naga-Tastic,399,Banani
Naga-Tastic,399,Dhanmondi
Naga-Tastic,399,Mirpur
