name,price,restaurant,location
Classic Margherita,179,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Veggie Lovers,199,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Classic Beef,269,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Ultimate Hot Chicken,269,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Classic Chicken Sausage,269,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Chicken Exotica,329,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Spicy Beef.,329,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Spicy Chicken.,379,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Beef Lovers.,379,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
Veggie Supreme,329,Pizza Hut,"['Gulshan', 'RM Center', 'Dhanmondi', 'Dhanmondi', 'Baily Road', 'Uttara', 'Uttara', 'Bhatara', 'Banani', 'Mirpur', 'Sony', 'Wari', 'Savar', 'Cox Bazar', 'Chittagong', 'Sylhet', 'Jamuna', 'Adabor', 'Banasree', 'Shewrapara', 'Gulshan 2']"
