name,price,restaurant
Chicken Cheese Bombs,299,madchef
Spicy Cajun Fries,159,madchef
Fries - Salt & Pepper,139,madchef
Onion Rings,149,madchef
Spicy Garlic Mushrooms,269,madchef
Paneer Sticks,399,madchef
Buffalo,399,madchef
Naga-Tastic,399,madchef
Honey Garlic,399,madchef
Original,399,madchef
The BIG Rob,379,madchef
Mushroom Melt,379,madchef
Madchef's FAV,379,madchef
Signature Chicken,269,madchef
Signature Beef,299,madchef
The HAWK,619,madchef
Smokin' Chic,419,madchef
The Cuban,419,madchef
Madame Lucy,449,madchef
Mighty Spicy Chic,449,madchef
The Dhakaiyya,447,madchef
Gyro Chicken over Cajun Fries,379,madchef
Crispy Chicken & Bacon,439,madchef
Shah Poutine,379,madchef
Roast Chicken,329,madchef
Gyro Chicken over Rice,399,madchef
Spicy Basil Chicken,349,madchef
Creamy Mushroom Stuffed Chicken,497,madchef
Achari Fried Rice,299,madchef
Mango Habanero Grilled Chicken,649,madchef
Creamcheez Stuffed Chicken,699,madchef
Mad Monster,649,madchef
Chicken Steak Meal,419,madchef
Strawberry Caipirinha,279,madchef
Lime Refreshmint,179,madchef
Honey Limade,219,madchef
Lemon Iced Tea,179,madchef
Just Milo,299,madchef
Cake In My Shake,399,madchef
Nutella Madness,349,madchef
Peanut Butter,349,madchef
Cookies n' Cream,299,madchef
French Vanilla Latte,299,madchef
